OID,PID
0,1063
0,1063
0,1063
0,1864
0,2350
1,318
1,493
1,493
1,493
1,3397
1,3397
1,3397
1,3165
1,3144
1,3144
2,2130
2,3351
2,3351
2,3351
2,3111
2,3111
2,3305
2,3305
2,3305
2,2558
2,2558
2,2558
3,3825
4,552
4,552
4,3943
4,3943
5,1933
5,1933
5,1933
5,2150
5,2150
5,133
5,133
5,133
6,1678
6,1678
6,3059
6,3059
7,2034
7,3282
7,1522
8,1319
8,1319
8,1319
8,2242
8,2242
8,2223
8,2223
8,2223
8,2912
9,3801
9,3801
9,3801
9,2597
9,2597
9,2597
9,1001
9,1001
9,1001
9,1943
9,1943
9,1943
10,406
10,3766
10,3766
11,1917
11,1917
11,1917
11,3452
11,3452
11,3452
11,128
11,128
11,128
12,489
12,489
12,1064
12,1353
12,1353
13,2698
13,2698
13,2698
13,2604
13,2604
13,2818
13,2818
13,3840
14,1422
14,3364
14,3364
14,3364
14,1433
14,1433
14,1433
14,2002
14,2002
14,764
14,764
15,1092
15,1092
16,2585
16,2470
16,3231
16,1457
16,2190
16,2190
17,3632
17,3632
17,734
17,734
17,2109
17,2109
17,1637
18,4008
18,4008
18,4008
19,3058
19,3058
20,3724
20,3724
20,3724
20,3240
20,3240
20,3240
21,3170
21,3747
21,3747
21,3747
21,524
21,524
21,2281
21,2281
21,3382
21,3382
22,3302
22,159
22,159
23,55
23,828
23,828
23,828
23,1863
23,1863
23,1863
23,2159
23,2159
23,2159
23,69
23,69
23,69
24,2175
24,622
24,2285
24,2285
24,2285
24,276
24,276
24,276
25,1975
26,2709
26,2709
26,2709
27,2010
27,2010
27,2010
27,956
27,956
27,956
27,2570
27,1931
27,1931
27,1931
28,799
28,799
28,1825
29,3783
29,3783
29,1896
29,1896
29,1896
29,433
29,433
29,433
29,3829
29,715
29,715
29,715
30,3982
30,3982
30,2133
30,2133
30,3947
30,3947
30,3947
30,3798
30,3625
31,1518
31,732
31,732
31,2168
31,2168
31,2168
31,2724
31,2724
32,2184
32,2608
32,2608
32,2608
32,3615
32,3429
32,3429
32,3946
32,3946
32,3946
33,3431
33,3431
33,54
33,1103
34,1166
34,1859
34,1859
34,1594
34,1594
34,1594
34,1213
34,1213
34,1213
34,2374
34,2374
35,1552
35,908
35,908
35,908
35,1840
35,1840
35,1840
36,561
36,561
36,3274
36,3274
36,3274
37,2606
37,2606
37,3588
37,345
37,345
37,345
37,879
37,879
37,3164
38,2669
38,2669
38,2669
38,608
38,608
38,1957
38,919
38,719
38,719
38,719
39,102
39,102
39,704
39,2290
39,2290
39,2290
40,3611
40,3611
40,3611
40,2150
40,2150
40,2150
40,451
40,381
40,381
40,1043
40,1043
40,1043
41,2254
41,2254
41,2254
41,850
41,850
41,850
41,2542
41,2542
42,1425
42,1425
42,3531
42,3531
42,1072
42,2480
42,2480
42,2480
42,2250
42,2250
43,1633
43,1633
44,1072
44,1072
44,1072
44,3123
44,3123
44,1171
44,3122
44,3122
45,3460
45,3460
45,2925
45,3597
45,3597
45,1691
45,1691
45,1691
46,515
46,515
46,3659
46,3659
46,3349
46,3349
46,3056
46,3056
46,2744
46,2744
46,2744
47,2257
47,3191
47,1242
48,1843
48,344
48,344
49,1836
49,1836
50,2600
50,2600
51,2330
51,2330
51,607
51,1233
51,1233
51,1233
51,2275
51,3944
52,2556
53,255
53,255
53,2029
53,2029
53,2029
53,880
53,875
53,875
53,875
53,83
54,2136
54,2136
54,2136
54,1832
54,1832
54,1832
54,2045
54,1874
54,1874
54,2604
54,2604
54,2604
55,221
55,221
55,1339
56,3098
56,3098
56,3098
