ID,Name,Price,"Quantity on Hand"
0,"Baby powder blue Sofa",$1249.99,28
1,"Dark sea green Headboard",$222.99,157
2,"Dutch white Dresser",$599.99,219
3,"Carmine Dining Chair",$89.99,94
4,"UP maroon Dining Table",$800,84
5,"Granite gray Sectional","$1,039.99",131
6,"Caribbean green Nightstand",$81.99,51
7,"Green-blue Daybed",$711.99,220
8,"Vanilla ice Bench",$114.99,66
9,"Razzmic Berry Ottoman",$92.99,227
10,"Desert sand Sleeper Sofa","$1,279.99",144
11,"Bleu de France Reclining Loveseat","$1,023.99",38
12,"Baby powder blue Bed",$389.99,93
13,"Tawny End Table",$99.99,29
14,"Raisin black Dresser",$599.99,61
15,"Cyan End Table",$99.99,157
16,"Purple mountain majesty Loveseat",$669.99,237
17,"Opal Loveseat",$669.99,149
18,"Mandarin Reclining Loveseat","$1,023.99",75
19,"Pacific blue Bench",$114.99,74
20,"Air superiority blue Crib",$289,117
21,"Ghost white Plant Stand",$42.99,226
22,"Fawn Reclining Loveseat","$1,023.99",235
23,"Ocean Blue Sofa",$1249.99,191
24,"Aero blue Futon",$419.99,59
25,"Rose quartz Sofa",$1249.99,105
26,"Medium orchid Reclining Loveseat","$1,023.99",165
27,"Lilac Sofa",$1249.99,90
28,"Sonic silver Dining Chair",$89.99,117
29,"Olivine Plant Stand",$42.99,151
30,"Desert Sleeper Sofa","$1,279.99",128
31,"Unmellow yellow Reclining Sofa","$1,119.99",168
32,"Teal blue Loveseat",$669.99,147
33,"Aquamarine Sleeper Sofa","$1,279.99",28
34,"Viridian green Headboard",$222.99,47
35,"Dark turquoise Dresser",$599.99,168
36,"Turtle green Stool",$54.99,94
37,"Maroon Loveseat",$669.99,115
38,"Violet Reclining Sofa","$1,119.99",57
39,"Burnt orange Daybed",$711.99,54
40,"Seal brown End Table",$99.99,37
41,"Dark purple Sofa",$1249.99,224
42,"Tan Stool",$54.99,75
43,"Dark sea green End Table",$99.99,181
44,"Light slate gray Storage Bench",$194.99,72
45,"Carolina blue Nightstand",$81.99,138
46,"Air superiority blue Crib",$289,247
47,"YInMn Blue Nightstand",$81.99,140
48,"Orange-red Reclining Loveseat","$1,023.99",137
49,"Lawn green Ottoman",$92.99,222
50,"Air superiority blue Futon",$419.99,134
51,"Straw Bench",$114.99,132
52,"Lava Storage Bench",$194.99,169
53,"Titanium yellow Reclining Loveseat","$1,023.99",80
54,"French lime Dining Chair",$89.99,113
55,"Copper red Coffee Table",$222.95,34
56,"New York pink Chaise Lounge",$235.99,76
57,"Light goldenrod yellow Dresser",$599.99,31
58,"Magnolia Daybed",$711.99,192
59,"Antique bronze Sectional","$1,039.99",246
60,"Tropical rainforest Daybed",$711.99,47
61,"Terra cotta Bench",$114.99,176
62,"OU Crimson red Crib",$289,75
63,"Japanese carmine Reclining Loveseat","$1,023.99",31
64,"Dark jungle green End Table",$99.99,234
65,"Middle yellow Stool",$54.99,116
66,"Royal yellow Futon",$419.99,173
67,"Lion gold Headboard",$222.99,30
68,"Nadeshiko pink Loveseat",$669.99,107
69,"Light yellow Dresser",$599.99,94
70,"International Klein Blue Chaise Lounge",$235.99,94
71,"Wild watermelon Headboard",$222.99,210
72,"Umber Nightstand",$81.99,211
73,"Russet brown Plant Stand",$42.99,235
74,"French beige Futon",$419.99,239
75,"Rosy brown Stool",$54.99,44
76,"Davy's grey Nightstand",$81.99,40
77,"Stil de grain yellow Dining Table",$800,172
78,"Eton blue Reclining Sofa","$1,119.99",237
79,"Amaranth red Crib",$289,158
80,"Van Dyke brown Reclining Loveseat","$1,023.99",124
81,"Columbia Blue Daybed",$711.99,172
82,"Green Lizard Nightstand",$81.99,55
83,"Dark pastel green Headboard",$222.99,152
84,"Mimi pink Wardrobe",$719.99,201
85,"Kelly green Crib",$289,124
86,"Peach Loveseat",$669.99,25
87,"Raspberry rose Reclining Sofa","$1,119.99",203
88,"Celtic blue Bed",$389.99,176
89,"Indigo Crib",$289,41
90,"Cyber yellow Reclining Sofa","$1,119.99",57
91,"Burnished brown Bench",$114.99,227
92,"Mikado yellow Coffee Table",$222.95,203
93,"Red Bed",$389.99,180
94,"Indigo dye Sectional","$1,039.99",172
